Month,Ascott Residence Trust,Frasers Commercial Trust,Parkway Life,Suntec,Keppel Infrastructure Trust,Starhill Global,Ascendas,CapitaLand Commercial Trust,Mapletree Logistics Trust,Mapletree Industrial Trust
31/1/2011,0.658107,0.507004,1.235749,0.967838,0.305454,0.396472,1.241448,0.877324,0.555511,0.624807
28/2/2011,0.703961,0.494563,1.214443,1.007074,0.31154,0.393501,1.266277,0.883676,0.558592,0.636938
31/3/2011,0.703961,0.497673,1.228647,0.993996,0.31154,0.403021,1.26007,0.915464,0.558592,0.655133
30/4/2011,0.686362,0.52846,1.299667,1.003217,0.314393,0.403021,1.302508,0.93454,0.574561,0.709728
31/5/2011,0.663732,0.522015,1.324428,0.996573,0.305823,0.419612,1.289863,0.921823,0.577701,0.722767
30/6/2011,0.666548,0.560683,1.338824,1.019827,0.285784,0.419612,1.289863,0.896394,0.577701,0.756743
31/7/2011,0.652739,0.541349,1.35682,0.911811,0.238241,0.406653,1.358304,0.780468,0.568551,0.735901
31/8/2011,0.591271,0.515571,1.334371,0.776728,0.240649,0.380418,1.300635,0.659645,0.542998,0.694663
30/9/2011,0.614691,0.509126,1.30885,0.837515,0.231398,0.393536,1.313449,0.738016,0.546193,0.742681
31/10/2011,0.559072,0.514384,1.323433,0.76322,0.206711,0.377138,1.329533,0.695564,0.540796,0.681858
30/11/2011,0.592238,0.494343,1.322454,0.741213,0.211367,0.376969,1.192671,0.689032,0.550565,0.693703
31/12/2011,0.579568,0.514384,1.311372,0.775688,0.233451,0.403657,1.215485,0.702097,0.566852,0.722741
31/1/2012,0.651184,0.557806,1.322454,0.866605,0.230298,0.406993,1.36731,0.801455,0.59803,0.76146
29/2/2012,0.685521,0.561146,1.344862,0.880696,0.248389,0.434198,1.34076,0.825128,0.627927,0.723794
31/3/2012,0.684815,0.614589,1.38607,0.92297,0.254843,0.444374,1.380591,0.872476,0.651183,0.743534
30/4/2012,0.642015,0.657813,1.3561,0.922499,0.241941,0.424021,1.384098,0.831893,0.659431,0.771589
