,Unnamed: 0,month,town,flat_type,block,floor_area_sqm,flat_model,remaining_lease,resale_price
0,0,2018-01,ANG MO KIO,2 ROOM,314,44.0,Improved,59,250000.0
1,1,2018-01,ANG MO KIO,3 ROOM,319,73.0,New Generation,58,300000.0
2,2,2018-01,ANG MO KIO,3 ROOM,319,73.0,New Generation,58,328000.0
3,3,2018-01,ANG MO KIO,3 ROOM,333,68.0,New Generation,62,300000.0
4,4,2018-01,ANG MO KIO,3 ROOM,333,68.0,New Generation,62,273000.0
5,5,2018-01,ANG MO KIO,3 ROOM,405,82.0,New Generation,60,330000.0
6,6,2018-01,ANG MO KIO,3 ROOM,560,82.0,New Generation,61,295000.0
7,7,2018-01,ANG MO KIO,3 ROOM,576,82.0,New Generation,61,365000.0
8,8,2018-01,ANG MO KIO,3 ROOM,443,82.0,New Generation,60,320000.0
9,9,2018-01,ANG MO KIO,3 ROOM,466,67.0,New Generation,65,255000.0
10,10,2018-01,ANG MO KIO,3 ROOM,440,82.0,New Generation,60,360000.0
11,11,2018-01,ANG MO KIO,3 ROOM,557,68.0,New Generation,61,265000.0
12,12,2018-01,ANG MO KIO,3 ROOM,549,82.0,New Generation,62,360000.0
13,13,2018-01,ANG MO KIO,3 ROOM,559,68.0,New Generation,61,242000.0
14,14,2018-01,ANG MO KIO,3 ROOM,461,68.0,New Generation,61,255000.0
15,15,2018-01,ANG MO KIO,3 ROOM,442,82.0,New Generation,60,348000.0
16,16,2018-01,ANG MO KIO,3 ROOM,473,67.0,New Generation,65,328000.0
17,17,2018-01,ANG MO KIO,3 ROOM,128,67.0,New Generation,59,312000.0
18,19,2018-01,ANG MO KIO,3 ROOM,348,73.0,New Generation,59,260000.0
19,20,2018-01,ANG MO KIO,3 ROOM,644,75.0,New Generation,61,320000.0
20,21,2018-01,ANG MO KIO,3 ROOM,107,74.0,New Generation,59,320000.0
21,22,2018-01,ANG MO KIO,3 ROOM,255,73.0,New Generation,58,335000.0
22,24,2018-01,ANG MO KIO,3 ROOM,178,68.0,New Generation,62,265000.0
23,25,2018-01,ANG MO KIO,3 ROOM,109,67.0,New Generation,59,240000.0
24,26,2018-01,ANG MO KIO,3 ROOM,152,68.0,New Generation,62,258000.0
25,27,2018-01,ANG MO KIO,3 ROOM,602,67.0,New Generation,61,265000.0
26,29,2018-01,ANG MO KIO,3 ROOM,533,67.0,New Generation,61,305000.0
27,30,2018-01,ANG MO KIO,3 ROOM,503,68.0,New Generation,62,260000.0
28,31,2018-01,ANG MO KIO,3 ROOM,124,67.0,New Generation,60,308000.0
29,32,2018-01,ANG MO KIO,3 ROOM,504,68.0,New Generation,61,330000.0
30,33,2018-01,ANG MO KIO,3 ROOM,505,68.0,New Generation,61,298000.0
31,34,2018-01,ANG MO KIO,3 ROOM,513,67.0,New Generation,65,340000.0
32,35,2018-01,ANG MO KIO,4 ROOM,307C,88.0,Model A,93,635000.0
33,36,2018-01,ANG MO KIO,4 ROOM,207,98.0,New Generation,57,438000.0
34,37,2018-01,ANG MO KIO,4 ROOM,426,92.0,New Generation,59,460000.0
35,38,2018-01,ANG MO KIO,4 ROOM,326,92.0,New Generation,58,548000.0
36,39,2018-01,ANG MO KIO,4 ROOM,325,98.0,New Generation,59,503000.0
37,40,2018-01,ANG MO KIO,4 ROOM,204,92.0,New Generation,58,435000.0
38,41,2018-01,ANG MO KIO,4 ROOM,428,92.0,New Generation,59,410000.0
39,42,2018-01,ANG MO KIO,4 ROOM,609,102.0,Model A,74,448000.0
40,43,2018-01,ANG MO KIO,4 ROOM,124,92.0,New Generation,60,450000.0
41,44,2018-01,ANG MO KIO,4 ROOM,309A,95.0,Model A,87,575000.0
42,45,2018-01,ANG MO KIO,5 ROOM,553,119.0,Improved,61,630000.0
43,46,2018-01,ANG MO KIO,5 ROOM,458,120.0,Improved,61,568888.0
44,47,2018-01,ANG MO KIO,5 ROOM,539,118.0,Improved,61,530000.0
45,48,2018-01,ANG MO KIO,5 ROOM,402,119.0,Improved,60,560000.0
46,49,2018-01,ANG MO KIO,5 ROOM,618,137.0,Model A,77,590000.0
51,255,2018-01,CENTRAL AREA,2 ROOM,8,53.0,Improved,52,250000.0
52,256,2018-01,CENTRAL AREA,3 ROOM,271,60.0,Improved,60,415000.0
55,259,2018-01,CENTRAL AREA,3 ROOM,2,59.0,Improved,58,460000.0
56,260,2018-01,CENTRAL AREA,3 ROOM,533,60.0,Improved,61,430000.0
61,265,2018-01,CENTRAL AREA,4 ROOM,671B,75.0,Model A,84,474000.0
64,320,2018-01,CLEMENTI,3 ROOM,423,70.0,Model A,94,513000.0
65,321,2018-01,CLEMENTI,3 ROOM,423,70.0,Model A,94,460000.0
66,322,2018-01,CLEMENTI,3 ROOM,362,82.0,New Generation,59,380000.0
67,323,2018-01,CLEMENTI,3 ROOM,375,67.0,New Generation,61,290000.0
68,324,2018-01,CLEMENTI,3 ROOM,374,68.0,New Generation,62,348000.0
69,325,2018-01,CLEMENTI,3 ROOM,345,67.0,New Generation,60,308000.0
70,326,2018-01,CLEMENTI,3 ROOM,326,82.0,New Generation,59,425000.0
71,327,2018-01,CLEMENTI,3 ROOM,339,67.0,New Generation,60,325000.0
72,328,2018-01,CLEMENTI,3 ROOM,611,74.0,Model A,64,275000.0
73,329,2018-01,CLEMENTI,3 ROOM,612,74.0,Model A,64,305000.0
74,330,2018-01,CLEMENTI,3 ROOM,710,68.0,New Generation,65,278000.0
75,331,2018-01,CLEMENTI,4 ROOM,412,97.0,New Generation,59,496888.0
76,332,2018-01,CLEMENTI,4 ROOM,417,99.0,Model A,94,660000.0
77,333,2018-01,CLEMENTI,4 ROOM,461,90.0,Model A,87,635000.0
78,334,2018-01,CLEMENTI,4 ROOM,375,91.0,New Generation,61,470000.0
79,335,2018-01,CLEMENTI,4 ROOM,302,92.0,New Generation,60,438000.0
80,336,2018-01,CLEMENTI,5 ROOM,605,119.0,Improved,60,522000.0
81,337,2018-01,CLEMENTI,5 ROOM,605,119.0,Improved,60,530000.0
85,342,2018-01,GEYLANG,3 ROOM,21,75.0,Improved,63,310000.0
86,343,2018-01,GEYLANG,3 ROOM,36,60.0,Model A,87,448000.0
87,344,2018-01,GEYLANG,4 ROOM,28,102.0,Model A,79,700000.0
88,345,2018-01,GEYLANG,4 ROOM,56,103.0,Model A,79,713888.0
89,346,2018-01,GEYLANG,4 ROOM,11,91.0,New Generation,58,473000.0
90,347,2018-01,GEYLANG,4 ROOM,34,85.0,Model A,87,640000.0
91,348,2018-01,GEYLANG,4 ROOM,412,104.0,Model A,73,528000.0
92,349,2018-01,GEYLANG,4 ROOM,124,104.0,Model A,64,595000.0
93,350,2018-01,GEYLANG,4 ROOM,2C,95.0,Model A,92,715000.0
94,351,2018-01,GEYLANG,4 ROOM,2B,95.0,Model A,92,582000.0
95,352,2018-01,GEYLANG,4 ROOM,43,109.0,Model A,71,440000.0
99,356,2018-01,GEYLANG,5 ROOM,105,121.0,Improved,60,588000.0
101,358,2018-01,GEYLANG,5 ROOM,23,118.0,Improved,62,650000.0
102,359,2018-01,GEYLANG,5 ROOM,3,110.0,Improved,81,910000.0
104,361,2018-01,GEYLANG,5 ROOM,336,121.0,Improved,67,435000.0
105,412,2018-01,JURONG EAST,3 ROOM,330,74.0,Model A,64,285000.0
106,413,2018-01,JURONG EAST,3 ROOM,110,68.0,New Generation,63,278000.0
107,414,2018-01,JURONG EAST,3 ROOM,211,67.0,New Generation,64,300000.0
108,415,2018-01,JURONG EAST,3 ROOM,241,68.0,New Generation,64,295000.0
109,416,2018-01,JURONG EAST,3 ROOM,416,74.0,Improved,63,266000.0
