income_per_month,years_in_school,property_value
2451.121304,15,281320.1372
1497.907463,16,401885.9102
817.0404346,9,267923.9402
4175.984444,14,348301.1222
3404.335144,13,372414.2768
9577.529539,16,3750935.162
4221.375579,16,503697.0075
1497.907463,16,267923.9402
8669.706834,17,535847.8805
2224.165628,12,93773.37905
1588.689734,16,428678.3043
6808.670289,16,2679239.402
544.6936231,12,133961.9701
4493.72239,15,1406600.686
14615.94555,17,2679239.402
4312.157849,16,535847.8805
5083.807149,17,241131.5462
2678.07698,8,80377.18205
6173.194395,17,3215087.282
1316.342922,9,535847.8805
771.6492994,10,93773.37905
1634.080869,12,375093.5162
907.8227051,6,85735.66085
4947.633743,17,442074.5013
3313.552874,12,736790.8355
2178.774492,17,937733.7905
2405.730169,12,669809.8505
3576.821458,12,187546.7581
190.6427681,15,206301.4339
5265.37169,16,270603.1796
1815.64541,13,85735.66085
38264.72702,17,1071695.761
2087.992222,12,361697.3192
3177.379468,17,589432.6685
34179.52485,16,1339619.701
2496.512439,15,214339.1521
5174.589419,12,602828.8655
14434.38101,16,2679239.402
3676.681956,17,482263.0923
2178.774492,11,401885.9102
1316.342922,12,1135997.506
1225.560652,16,334904.9252
7807.275264,17,937733.7905
2360.339033,13,273282.419
3168.301241,14,1232450.125
2269.556763,14,415282.1073
6536.323477,16,1071695.761
3222.770603,12,267923.9402
3404.335144,8,937733.7905
385.8246497,13,192905.2369
1134.778381,12,200942.9551
3404.335144,13,2306825.125
331.3552874,12,696602.2445
3313.552874,15,246490.025
2723.468115,12,214339.1521
8170.404346,17,4554706.983
1497.907463,10,353659.601
27370.85456,14,9377337.905
17793.32502,17,4018859.102
1588.689734,5,179509.0399
1929.123248,14,535847.8805
2723.468115,12,937733.7905
1679.472005,12,442074.5013
186.1036546,15,482263.0923
2087.992222,16,991318.5785
1634.080869,12,817168.0175
3358.944009,12,334904.9252
1452.516328,12,187546.7581
3086.597197,14,294716.3342
2405.730169,14,294716.3342
5900.847583,17,803771.8205
2587.29471,14,1339619.701
2042.601087,16,361697.3192
544.6936231,12,498338.5287
1951.818816,14,375093.5162
4947.633743,14,1178865.337
3495.117415,16,1138676.746
5446.936231,16,1205657.731
13798.90512,16,736790.8355
771.6492994,14,326867.207
1679.472005,10,267923.9402
590.0847583,12,192905.2369
1316.342922,9,401885.9102
2087.992222,12,1339619.701
817.0404346,7,281320.1372
907.8227051,12,669809.8505
35949.77912,17,3215087.282
2042.601087,8,442074.5013
3041.206062,15,602828.8655
3540.50855,14,455470.6983
4175.984444,12,305433.2918
1906.427681,16,723394.6385
1316.342922,14,187546.7581
5673.891907,17,1125280.549
5719.283042,17,1286034.913
3648.993363,16,803771.8205
3358.944009,16,535847.8805
20153.66405,17,1741505.611
7262.581641,16,91094.13965
18610.36546,16,1741505.611
5991.629854,16,1465543.953
2269.556763,14,450112.2195
5991.629854,15,985960.1
7716.492994,17,1419996.883
11393.17495,17,937733.7905
17294.02253,12,669809.8505
14570.55442,17,1741505.611
1180.169517,9,18754.67581
1407.125193,12,174150.5611
3722.073091,17,1607543.641
3313.552874,12,233093.828
4357.548985,14,669809.8505
998.6049757,12,361697.3192
590.0847583,14,468866.8953
9259.791592,16,669809.8505
17611.76048,14,1714713.217
2451.121304,16,109848.8155
15750.72393,17,1875467.581
1679.472005,12,468866.8953
40171.1547,17,4554706.983
4584.504661,12,857356.6085
1497.907463,12,26792.39402
9032.835916,17,1945127.806
9032.835916,16,482263.0923
499.3024878,15,26792.39402
1815.64541,17,388489.7132
5583.109637,17,736790.8355
34996.56528,17,42867830.43
4130.593308,16,187546.7581
9577.529539,17,3054332.918
499.3024878,12,174150.5611
1770.254275,12,259886.222
15932.28848,17,1339619.701
1543.298599,16,8037.718205
2451.121304,14,401885.9102
304.1206062,10,40188.59102
10530.74338,17,401885.9102
2587.29471,11,450112.2195
2360.339033,12,482263.0923
1270.951787,12,1063658.043
1497.907463,13,1339619.701
1270.951787,17,359018.0798
31637.62127,16,10716957.61
4947.633743,17,1205657.731
862.4315699,15,428678.3043
1634.080869,12,538527.1195
1270.951787,12,455470.6983
15206.03031,17,1339619.701
5356.15396,16,830564.2145
4130.593308,12,669809.8505
3585.899685,16,442074.5013
4085.202173,14,401885.9102
726.2581641,12,160754.3641
17793.32502,16,2277353.492
3949.028767,16,937733.7905
6127.80326,14,1406600.686
2768.859251,16,289357.8554
1043.996111,8,214339.1521
