Project,Price,Year,Month,Lease,FloorSqm
CAVAN SUITES,682699,2012,12,Freehold,31.0002
CITY LOFT,479698,2011,11,Freehold,33.0003
LOFT @ STEVENS,814498,2013,3,Freehold,33.0003
ESPADA,1.00E+06,2012,4,Freehold,33.0003
SKYSUITES17,654168,2013,5,Freehold,34.0003
SUITES AT BUKIT TIMAH,692009,2013,11,Freehold,35.0003
ESPADA,1.10E+06,2012,5,Freehold,35.0003
THE AXIS,500507,2009,2,Freehold,37.0003
NOTTINGHILL SUITES,717796,2013,12,Freehold,37.0003
VIVACE,858062,2012,3,Leasehold,37.0003
28 RC SUITES,756769,2016,2,Freehold,38.0003
ROBIN RESIDENCES,1.10E+06,2018,1,Freehold,38.0003
WILKIE 80,744695,2010,2,Freehold,39.0003
STURDEE RESIDENCES,784695,2018,5,Leasehold,39.0003
FIFTY-TWO STEVENS,881995,2012,4,Freehold,39.0003
URBAN LOFTS,565034,2010,9,Freehold,40.0003
SUITES AT BUKIT TIMAH,773694,2014,3,Freehold,40.0003
LOFT@HOLLAND,861594,2013,2,Freehold,40.0003
8 BASSEIN,917194,2014,5,Freehold,40.0003
NATURA@HILLVIEW,656593,2014,5,Freehold,41.0003
ILLUMINAIRE ON DEVONSHIRE,824693,2011,5,Freehold,41.0003
VIVACE,979644,2012,4,Leasehold,41.0003
NATURA@HILLVIEW,656893,2014,8,Freehold,42.0003
NATURA@HILLVIEW,703693,2014,10,Freehold,42.0003
CITY SUITES,891693,2015,8,Freehold,42.0003
VIVACE,966693,2011,11,Leasehold,42.0003
TYRWHITT 139,530390,2009,6,Freehold,43.0003
LAUREL TREE,672642,2015,9,Freehold,43.0003
LAUREL TREE,697692,2015,5,Freehold,43.0003
HILLION RESIDENCES,746692,2015,4,Leasehold,43.0003
HILLION RESIDENCES,814692,2015,4,Leasehold,43.0003
LINCOLN SUITES,1.00E+06,2012,1,Freehold,43.0003
ROBIN SUITES,1.20E+06,2015,2,Freehold,43.0003
THE PLAZA,578692,2012,6,Leasehold,44.0003
PARC SOPHIA,783692,2010,7,Freehold,44.0003
PARC SOPHIA,843692,2010,8,Freehold,44.0003
ROBERTSON EDGE,1.00E+06,2014,12,Leasehold,44.0003
ZEDGE,691691,2010,6,Freehold,45.0004
ONE DUSUN RESIDENCES,825591,2014,9,Freehold,45.0004
ONE DUSUN RESIDENCES,943291,2014,9,Freehold,45.0004
VIZ AT HOLLAND,619690,2009,6,Freehold,46.0004
VIZ AT HOLLAND,741690,2010,7,Freehold,46.0004
ESTILO,960591,2009,9,Freehold,46.0004
DEVONSHIRE RESIDENCES,1.30E+06,2013,4,Freehold,46.0004
CITIGATE RESIDENCE,608941,2010,6,Freehold,47.0004
ECO SANCTUARY,739540,2015,1,Leasehold,47.0004
THE HILLIER,839131,2014,2,Leasehold,47.0004
HIGHLINE RESIDENCES,992690,2016,10,Leasehold,47.0004
DEVONSHIRE 12,1.20E+06,2015,8,Freehold,47.0004
DEVONSHIRE RESIDENCES,1.40E+06,2013,5,Freehold,47.0004
THE HILLIER,681120,2014,1,Leasehold,48.0004
KINGSFORD . HILLVIEW PEAK,764689,2017,11,Leasehold,48.0004
KINGSFORD . HILLVIEW PEAK,782689,2017,8,Leasehold,48.0004
THE HILLIER,865876,2014,3,Leasehold,48.0004
VIDA,1.10E+06,2009,6,Freehold,48.0004
VIDA,1.30E+06,2012,12,Freehold,48.0004
MILL POINT,748689,2010,10,Leasehold,49.0004
KINGSFORD . HILLVIEW PEAK,778815,2017,7,Leasehold,49.0004
URBAN LOFTS,801689,2014,10,Freehold,49.0004
ONE DUSUN RESIDENCES,846389,2014,9,Freehold,49.0004
ONE DUSUN RESIDENCES,946089,2014,9,Freehold,49.0004
MILL POINT,1.10E+06,2014,12,Leasehold,49.0004
VIDA,1.30E+06,2011,8,Freehold,49.0004
LIV ON WILKIE,1.40E+06,2015,11,Freehold,49.0004
SUITES @ OWEN,596688,2010,3,Freehold,50.0004
MACKENZIE 88,741056,2009,7,Freehold,50.0004
SUITES @ SHREWSBURY,793688,2012,6,Freehold,50.0004
KAP RESIDENCES,1.00E+06,2015,6,Freehold,50.0004
NOVENA REGENCY,1.30E+06,2015,4,Freehold,50.0004
ROBIN SUITES,1.40E+06,2015,5,Freehold,50.0004
THE HILLIER,735189,2014,1,Leasehold,51.0004
PARC SOPHIA,843687,2010,9,Freehold,51.0004
PARC EMILY,1.10E+06,2012,5,Freehold,51.0004
OUE TWIN PEAKS,1.30E+06,2018,4,Leasehold,51.0004
OUE TWIN PEAKS,1.50E+06,2018,5,Leasehold,51.0004
THE LAURELS,1.80E+06,2012,5,Freehold,51.0004
THE MEZZO,630687,2011,5,Freehold,52.0004
CUBE 8,816887,2012,2,Freehold,52.0004
HERTFORD COLLECTION,873687,2017,4,Freehold,52.0004
MOUNT SOPHIA SUITES,984247,2010,5,Freehold,52.0004
CITYLIGHTS,1.10E+06,2013,10,Leasehold,52.0004
1919,1.20E+06,2014,7,Freehold,52.0004
DUO RESIDENCES,1.40E+06,2015,12,Leasehold,52.0004
26 NEWTON,1.50E+06,2018,3,Freehold,52.0004
HILLSTA,676686,2014,12,Leasehold,53.0004
THE ANSLEY,731686,2010,3,Freehold,53.0004
CITIGATE RESIDENCE,828686,2017,3,Freehold,53.0004
MIRAGE TOWER,891686,2012,5,Freehold,53.0004
OKIO,940086,2013,6,Freehold,53.0004
STURDEE RESIDENCES,979386,2018,4,Leasehold,53.0004
MIRAGE TOWER,1.00E+06,2014,3,Freehold,53.0004
THE CASCADIA,1.10E+06,2014,4,Freehold,53.0004
VIVACE,1.40E+06,2015,4,Leasehold,53.0004
THE METZ,1.60E+06,2016,11,Freehold,53.0004
SUITES 123,651686,2010,7,Freehold,54.0004
SOLEIL @ SINARAN,805686,2009,9,Leasehold,54.0004
PINNACLE 16,893686,2012,12,Freehold,54.0004
PARC EMILY,953686,2011,11,Freehold,54.0004
WATERSCAPE AT CAVENAGH,1.10E+06,2012,3,Freehold,54.0004
THE BOUTIQ,1.50E+06,2013,6,Freehold,54.0004
THE HILLIER,759705,2014,2,Leasehold,55.0004
PARC EMILY,873685,2011,8,Freehold,55.0004
D'LEEDON,940285,2013,4,Leasehold,55.0004
MARTIN PLACE RESIDENCES,1.00E+06,2011,6,Freehold,55.0004
DUO RESIDENCES,1.20E+06,2015,12,Leasehold,55.0004
CAIRNHILL NINE,1.60E+06,2018,3,Leasehold,55.0004
KINGSFORD . HILLVIEW PEAK,775684,2017,8,Leasehold,56.0004
FORTE SUITES,1.10E+06,2017,7,Freehold,56.0004
SUITES @ NEWTON,1.40E+06,2013,12,Freehold,56.0004
SOL ACRES,593684,2018,2,Leasehold,57.0005
THE TENNERY,747196,2013,2,Leasehold,57.0005
ATTITUDE AT KIM YAM,783684,2011,5,Leasehold,57.0005
THE TENNERY,814476,2013,1,Leasehold,57.0005
