month,town,flat_type,floor_area_sqm,flat_model,resale_price
2018-01,ANG MO KIO,2 ROOM,44,Improved,250000
2018-01,ANG MO KIO,3 ROOM,73,New Generation,300000
2018-01,ANG MO KIO,3 ROOM,73,New Generation,328000
2018-01,ANG MO KIO,3 ROOM,68,New Generation,300000
2018-01,ANG MO KIO,3 ROOM,68,New Generation,273000
2018-01,ANG MO KIO,3 ROOM,82,New Generation,330000
2018-01,ANG MO KIO,3 ROOM,82,New Generation,295000
2018-01,ANG MO KIO,3 ROOM,82,New Generation,365000
2018-01,ANG MO KIO,3 ROOM,82,New Generation,320000
2018-01,ANG MO KIO,3 ROOM,67,New Generation,255000
2018-01,ANG MO KIO,3 ROOM,82,New Generation,360000
2018-01,ANG MO KIO,3 ROOM,68,New Generation,265000
2018-01,ANG MO KIO,3 ROOM,82,New Generation,360000
2018-01,ANG MO KIO,3 ROOM,68,New Generation,242000
2018-01,ANG MO KIO,3 ROOM,68,New Generation,255000
2018-01,ANG MO KIO,3 ROOM,82,New Generation,348000
2018-01,ANG MO KIO,3 ROOM,67,New Generation,328000
2018-01,ANG MO KIO,3 ROOM,67,New Generation,312000
2018-01,ANG MO KIO,3 ROOM,73,New Generation,260000
2018-01,ANG MO KIO,3 ROOM,75,New Generation,320000
2018-01,ANG MO KIO,3 ROOM,74,New Generation,320000
2018-01,ANG MO KIO,3 ROOM,73,New Generation,335000
2018-01,ANG MO KIO,3 ROOM,68,New Generation,265000
2018-01,ANG MO KIO,3 ROOM,67,New Generation,240000
2018-01,ANG MO KIO,3 ROOM,68,New Generation,258000
2018-01,ANG MO KIO,3 ROOM,67,New Generation,265000
2018-01,ANG MO KIO,3 ROOM,67,New Generation,305000
2018-01,ANG MO KIO,3 ROOM,68,New Generation,260000
2018-01,ANG MO KIO,3 ROOM,67,New Generation,308000
2018-01,ANG MO KIO,3 ROOM,68,New Generation,330000
2018-01,ANG MO KIO,3 ROOM,68,New Generation,298000
2018-01,ANG MO KIO,3 ROOM,67,New Generation,340000
2018-01,ANG MO KIO,4 ROOM,88,Model A,635000
2018-01,ANG MO KIO,4 ROOM,98,New Generation,438000
2018-01,ANG MO KIO,4 ROOM,92,New Generation,460000
2018-01,ANG MO KIO,4 ROOM,92,New Generation,548000
2018-01,ANG MO KIO,4 ROOM,98,New Generation,503000
2018-01,ANG MO KIO,4 ROOM,92,New Generation,435000
2018-01,ANG MO KIO,4 ROOM,92,New Generation,410000
2018-01,ANG MO KIO,4 ROOM,102,Model A,448000
2018-01,ANG MO KIO,4 ROOM,92,New Generation,450000
2018-01,ANG MO KIO,4 ROOM,95,Model A,575000
2018-01,ANG MO KIO,5 ROOM,119,Improved,630000
2018-01,ANG MO KIO,5 ROOM,120,Improved,568888
2018-01,ANG MO KIO,5 ROOM,118,Improved,530000
2018-01,ANG MO KIO,5 ROOM,119,Improved,560000
2018-01,ANG MO KIO,5 ROOM,137,Model A,590000
2018-01,CENTRAL AREA,2 ROOM,53,Improved,250000
2018-01,CENTRAL AREA,3 ROOM,60,Improved,415000
2018-01,CENTRAL AREA,3 ROOM,59,Improved,460000
2018-01,CENTRAL AREA,3 ROOM,60,Improved,430000
2018-01,CENTRAL AREA,4 ROOM,75,Model A,474000
2018-01,CLEMENTI,3 ROOM,70,Model A,513000
2018-01,CLEMENTI,3 ROOM,70,Model A,460000
2018-01,CLEMENTI,3 ROOM,82,New Generation,380000
2018-01,CLEMENTI,3 ROOM,67,New Generation,290000
2018-01,CLEMENTI,3 ROOM,68,New Generation,348000
2018-01,CLEMENTI,3 ROOM,67,New Generation,308000
2018-01,CLEMENTI,3 ROOM,82,New Generation,425000
2018-01,CLEMENTI,3 ROOM,67,New Generation,325000
2018-01,CLEMENTI,3 ROOM,74,Model A,275000
2018-01,CLEMENTI,3 ROOM,74,Model A,305000
2018-01,CLEMENTI,3 ROOM,68,New Generation,278000
2018-01,CLEMENTI,4 ROOM,97,New Generation,496888
2018-01,CLEMENTI,4 ROOM,99,Model A,660000
2018-01,CLEMENTI,4 ROOM,90,Model A,635000
